wage,education,experience,ethnicity,smsa,south,age,nearcollege,nearcollege2,nearcollege4,enrolled,married,education66,smsa66,south66,feducation,meducation,fameducation,kww,iq,parents14,library14
625,18,2,0,1,0,26,1,yes,public,no,no,11,yes,no,14,12,2,41,123,both,yes
769,18,8,0,1,0,32,1,yes,public,no,no,17,no,no,16,16,1,35,128,both,yes
500,17,4,0,1,0,27,1,yes,public,yes,no,11,yes,no,16,17,1,38,133,both,yes
619,17,4,0,1,0,27,1,yes,public,yes,yes,12,no,no,12,8,5,32,114,both,yes
650,12,12,0,1,0,30,1,yes,public,no,yes,12,yes,no,9.93999958,8,9,40,103,singlemom,yes
769,18,4,0,1,0,28,1,no,public,no,yes,13,yes,no,10,12,6,36,130,both,yes
512,12,8,0,1,0,26,1,no,public,no,yes,10,yes,no,10,12,6,33,97,both,yes
625,18,7,0,1,0,31,1,no,public,no,yes,15,yes,no,12,13,2,46,132,both,yes
1111,14,11,0,1,0,31,1,no,public,no,yes,14,yes,no,12,12,3,41,98,both,yes
721,13,9,0,1,0,28,1,no,public,no,yes,13,yes,no,12,12,3,41,108,both,yes
1154,14,12,0,1,0,32,1,no,public,no,yes,13,yes,no,13,12,2,44,107,both,yes
827,18,10,0,0,0,34,1,no,public,no,no,17,yes,no,18,18,1,40,129,both,yes
923,16,12,0,1,0,34,1,no,public,no,yes,15,yes,no,14,12,2,56,#N/A,both,yes
1076,17,5,0,1,0,28,1,no,public,no,yes,12,no,no,14,17,1,42,132,both,yes
625,12,15,0,1,0,33,1,no,public,no,yes,11,yes,no,9.93999958,8,9,37,101,both,yes
460,13,8,0,1,0,27,1,no,public,no,yes,12,yes,no,9.93999958,8,9,24,92,singlemom,yes
900,14,4,1,1,0,24,1,no,public,no,no,9,yes,no,8,12,6,39,108,both,yes
682,18,5,0,1,0,29,1,no,public,no,yes,13,no,no,8,9,8,#N/A,132,both,yes
411,12,6,0,1,0,24,1,no,public,no,yes,8,yes,no,10,12,6,20,#N/A,both,yes
625,13,8,0,1,0,27,1,no,public,no,yes,11,yes,no,12,15,2,35,106,both,no
1005,18,8,0,1,0,32,1,no,public,no,yes,17,yes,no,12,12,3,46,123,both,yes
725,11,7,0,1,0,24,1,no,public,no,yes,9,yes,no,9,11,7,24,109,both,yes
750,15,6,0,1,0,27,1,no,public,no,yes,11,yes,no,8,11,8,35,103,both,yes
529,14,9,0,1,0,29,1,no,public,no,yes,13,no,no,9.93999958,8,9,33,108,both,no
972,17,6,0,1,0,29,1,no,public,no,yes,13,yes,no,8,12,6,47,122,both,yes
472,12,8,0,0,0,26,1,no,public,no,yes,11,yes,no,12,12,3,36,109,step,yes
325,12,6,0,1,0,24,1,no,public,no,no,9,yes,no,12,12,3,35,102,step,yes
875,12,16,0,1,0,34,1,no,public,no,yes,12,yes,no,9.93999958,12,4,44,109,both,yes
625,13,15,0,1,0,34,1,no,public,no,yes,11,yes,no,9,10,7,40,100,both,yes
337,12,8,0,1,0,26,1,no,public,no,yes,10,yes,no,8,10,8,29,93,both,yes
481,16,5,0,1,0,27,1,no,public,no,yes,11,yes,no,5,5,8,37,115,both,yes
650,9,14,0,1,0,29,1,no,public,no,no,7,yes,no,5,10.25,9,#N/A,#N/A,both,no
383,16,3,0,1,0,25,1,no,public,no,no,8,yes,no,5,4,8,39,#N/A,both,no
962,18,6,0,1,0,30,1,no,public,no,yes,15,yes,no,15,14,1,50,125,both,yes
615,16,7,0,0,0,29,1,no,public,no,no,13,yes,no,13,12,2,31,106,both,yes
702,14,8,0,1,0,28,1,no,public,no,yes,12,yes,no,12,12,3,43,113,both,yes
635,14,11,0,1,0,31,1,no,public,no,no,12,yes,no,9.93999958,12,4,41,122,both,yes
200,12,10,0,1,0,28,1,no,public,no,no,9,yes,no,10,11,7,35,#N/A,both,no
817,12,9,0,1,0,27,1,no,public,no,yes,12,yes,no,10,10,7,43,116,both,yes
577,14,6,0,1,0,26,1,no,public,no,yes,11,yes,no,9.93999958,12,4,39,116,singlemom,yes
466,17,3,0,1,0,26,1,no,public,no,yes,11,yes,no,12,12,3,34,105,both,yes
924,16,7,0,1,0,29,1,no,public,no,yes,14,yes,no,9.93999958,12,4,39,#N/A,singlemom,yes
793,16,9,0,1,1,31,1,no,public,yes,yes,15,no,no,12,12,3,38,112,both,no
635,14,8,0,1,0,28,1,no,public,no,yes,12,yes,no,12,12,3,32,113,both,yes
570,12,7,0,1,0,25,1,no,public,no,no,7,yes,no,9.93999958,10.25,9,22,#N/A,other,yes
705,16,7,0,1,0,29,1,no,public,no,yes,13,yes,no,12,12,3,37,94,both,yes
635,14,8,0,1,0,28,1,no,public,no,yes,12,yes,no,12,9,5,40,103,both,yes
694,12,12,0,1,0,30,1,no,public,no,yes,12,yes,no,9.93999958,12,4,36,102,step,no
615,13,15,0,1,0,34,1,no,public,no,yes,12,yes,no,10,12,6,47,109,both,yes
462,16,4,0,1,0,26,1,no,public,no,no,11,yes,no,15,10,5,34,130,both,yes
865,12,16,0,1,0,34,1,no,public,no,yes,12,yes,no,12,12,3,45,105,both,yes
737,18,9,0,1,1,33,1,no,public,no,yes,17,no,no,12,12,3,46,134,both,yes
1400,12,7,0,1,0,25,1,no,public,no,yes,10,yes,no,8,14,6,39,#N/A,both,yes
808,12,13,0,1,0,31,1,no,public,no,yes,12,yes,no,9.93999958,7,9,43,105,singlemom,no
654,16,4,0,1,0,26,1,no,public,no,yes,11,yes,no,11,12,6,36,104,both,no
300,12,7,0,1,0,25,1,no,public,no,yes,9,yes,no,9.93999958,12,4,35,112,singlemom,yes
577,16,8,0,1,0,30,1,no,public,no,no,12,yes,no,8,10,8,37,115,both,yes
265,16,2,0,1,0,24,1,no,public,no,no,8,yes,no,10,12,6,44,#N/A,both,yes
594,18,7,0,0,0,31,1,no,public,no,yes,15,yes,no,8,8,8,33,117,both,yes
325,17,3,0,1,0,26,1,no,public,no,yes,9,yes,no,12,8,5,29,114,both,yes
385,16,2,0,0,0,24,1,no,public,yes,no,9,yes,no,12,8,5,37,118,both,yes
1000,18,1,0,1,0,25,1,no,public,no,yes,10,yes,no,12,12,3,32,107,both,yes
465,18,4,0,1,0,28,1,no,public,no,no,13,yes,no,8,11,8,49,120,both,yes
440,16,6,0,1,0,28,1,no,public,no,no,13,no,no,16,18,1,43,131,both,yes
625,16,5,0,1,0,27,1,no,public,no,no,12,no,no,16,17,1,40,124,both,yes
285,17,4,0,1,0,27,1,no,public,no,yes,11,yes,no,11,12,6,36,121,both,yes
650,14,7,0,1,0,27,1,no,public,no,yes,12,yes,no,10,12,6,35,110,both,yes
808,13,6,0,1,0,25,1,no,public,no,yes,10,yes,no,10,12,6,34,103,both,yes
500,12,6,0,1,0,24,1,no,public,no,yes,8,yes,no,10,12,6,26,#N/A,both,yes
831,16,4,0,1,0,26,1,no,public,no,yes,11,yes,no,14,12,2,45,115,both,yes
500,12,13,0,1,0,31,1,no,public,no,yes,12,yes,no,8,6,8,33,96,both,yes
693,17,9,0,1,0,32,1,no,public,no,yes,17,yes,no,12,12,3,48,123,both,no
1100,12,9,0,1,0,27,1,no,public,no,yes,11,yes,no,12,10,5,37,101,both,yes
763,12,7,0,1,0,25,1,no,public,no,yes,10,yes,no,8,12,6,34,98,both,yes
795,12,9,0,1,0,27,1,yes,public,no,yes,12,yes,no,8,9,8,28,#N/A,both,yes
333,16,3,0,1,0,25,1,yes,public,no,no,10,yes,no,7,8,8,31,108,both,yes
409,18,6,0,1,0,30,1,yes,public,no,yes,13,yes,no,16,12,2,39,138,both,yes
865,16,5,0,1,0,27,1,yes,public,no,yes,11,yes,no,9.93999958,12,4,37,121,both,yes
888,12,13,0,1,0,31,1,yes,public,no,yes,12,yes,no,8,12,6,34,96,both,yes
673,12,16,0,1,0,34,1,yes,public,no,yes,12,yes,no,9.93999958,12,4,47,89,both,yes
700,12,15,0,0,0,33,1,yes,public,no,no,12,yes,no,7,10.25,9,43,109,both,yes
250,18,9,0,1,1,33,1,yes,public,no,no,17,yes,no,16,16,1,44,133,both,yes
625,11,10,0,1,0,27,1,yes,public,no,no,11,yes,no,11,9,7,32,84,both,yes
417,13,12,0,1,0,31,1,yes,public,no,no,10,yes,no,8,12,6,37,#N/A,both,yes
576,13,9,0,1,0,28,1,yes,public,no,yes,12,yes,no,8,12,6,51,98,both,yes
613,12,8,1,1,0,26,1,yes,public,no,no,9,yes,no,12,9,5,27,85,both,yes
700,12,13,0,1,0,31,1,yes,public,no,yes,12,yes,no,11,9,7,#N/A,105,both,yes
450,12,6,0,1,0,24,1,yes,public,no,no,9,yes,no,11,9,7,20,93,both,yes
500,16,6,0,1,0,28,1,yes,public,no,yes,12,yes,no,9.93999958,12,4,38,115,singlemom,yes
514,12,7,0,0,0,25,1,yes,public,no,yes,9,yes,no,12,10.25,5,36,#N/A,both,yes
250,16,3,0,1,0,25,1,yes,public,no,no,10,yes,no,12,12,3,45,146,both,yes
315,12,6,0,0,0,24,1,yes,public,no,no,8,yes,no,12,12,3,32,#N/A,both,yes
375,12,11,0,1,0,29,1,yes,public,no,yes,12,yes,no,9,12,6,32,82,both,yes
457,15,13,0,0,0,34,1,yes,public,no,yes,15,yes,no,9.93999958,12,4,45,120,singlemom,yes
275,12,9,1,1,0,27,1,yes,public,no,no,8,yes,no,9.93999958,10.25,9,26,#N/A,other,no
951,12,10,0,1,0,28,1,yes,public,no,yes,12,yes,no,9.93999958,12,4,38,122,singlemom,yes
1115,16,10,0,1,0,32,1,yes,public,no,yes,16,no,no,8,9,8,49,#N/A,both,yes
289,16,3,0,0,0,25,1,yes,public,yes,no,9,yes,no,12,14,2,31,128,both,yes
500,16,3,0,1,0,25,1,yes,public,no,yes,10,yes,no,9.93999958,10.25,9,34,110,other,yes
726,18,8,0,1,0,32,1,yes,public,no,yes,16,yes,no,16,12,2,46,114,both,yes
1265,18,5,0,1,0,29,1,yes,public,no,yes,14,yes,no,18,12,2,48,117,both,yes
613,17,3,1,1,0,26,1,yes,public,no,no,10,yes,no,18,18,1,40,109,both,yes
545,12,10,0,1,0,28,1,no,public,no,no,12,yes,no,10,11,7,35,91,both,no
278,13,9,0,1,0,28,1,no,public,yes,yes,12,yes,no,12,8,5,32,107,both,yes
1442,18,10,0,1,0,34,1,no,public,no,yes,17,yes,no,16,12,2,55,114,both,yes
995,16,5,0,1,0,27,1,no,public,no,yes,12,yes,no,16,12,2,40,126,both,yes
700,12,11,0,1,0,29,1,no,public,no,yes,10,yes,no,11,11,7,45,82,both,yes
577,16,6,0,1,0,28,1,no,public,no,yes,13,yes,no,9,12,6,45,119,both,yes
858,16,9,0,1,0,31,1,no,public,no,yes,14,yes,no,6,12,6,37,104,both,yes
686,12,10,0,1,0,28,1,no,public,no,yes,12,yes,no,12,10.25,5,35,97,other,yes
832,15,10,0,1,0,31,1,no,public,no,yes,12,yes,no,11,10.25,9,49,115,both,yes
633,13,14,0,1,0,33,1,yes,private,yes,yes,10,yes,no,13,8,5,45,83,both,yes
689,12,14,0,1,0,32,1,yes,private,no,yes,12,yes,no,12,12,3,45,97,both,yes
769,14,10,0,1,0,30,1,yes,private,no,yes,13,yes,no,8,8,8,43,119,both,yes
385,15,6,0,1,0,27,1,yes,private,no,no,11,yes,no,12,14,2,27,105,both,yes
450,12,6,0,1,0,24,1,yes,private,yes,no,7,yes,no,12,14,2,29,#N/A,both,yes
615,12,9,0,1,0,27,1,yes,private,no,yes,12,yes,no,10,12,6,41,114,both,yes
682,12,16,0,1,0,34,1,yes,private,no,yes,10,yes,no,9.93999958,8,9,47,93,singlemom,yes
670,10,16,0,1,0,32,1,yes,private,no,no,10,yes,no,9.93999958,10.25,9,28,73,singlemom,yes
800,11,16,0,1,0,33,1,yes,private,no,yes,11,yes,no,8,8,8,48,96,both,yes
505,14,14,0,1,0,34,1,yes,public,no,yes,12,yes,no,8,8,8,48,#N/A,both,yes
1026,18,6,0,1,0,30,1,yes,public,no,no,15,yes,no,12,16,2,48,117,both,yes
769,15,4,0,1,0,25,1,yes,public,no,no,9,yes,no,16,12,2,30,113,both,yes
290,10,16,0,1,1,32,1,yes,public,no,yes,10,yes,no,10,14,6,38,106,both,yes
529,13,9,0,1,0,28,1,yes,public,no,yes,11,yes,no,9.93999958,8,9,37,104,singlemom,yes
1154,16,7,0,1,0,29,1,yes,public,no,yes,13,no,no,12,12,3,#N/A,#N/A,both,yes
549,10,13,0,1,0,29,1,yes,public,no,yes,10,yes,no,12,10.25,5,39,80,other,yes
475,12,8,0,1,0,26,1,yes,public,no,yes,10,yes,no,8,12,6,30,104,both,yes
450,12,8,0,1,0,26,1,yes,public,no,yes,10,yes,no,12,12,3,36,102,both,yes
875,17,4,0,1,0,27,1,yes,public,no,no,11,yes,no,10,10.25,9,43,114,other,yes
200,15,4,0,1,0,25,1,yes,public,yes,no,10,yes,no,10,10.25,9,33,93,other,yes
300,13,7,0,0,0,26,1,yes,public,no,no,9,yes,no,16,16,1,36,122,both,yes
462,16,3,0,0,0,25,1,yes,public,no,no,9,yes,no,16,10.25,5,28,117,both,yes
385,12,12,0,1,0,30,1,yes,public,no,yes,12,yes,no,13,12,2,38,96,both,yes
1282,15,11,0,1,0,32,1,yes,public,no,yes,15,yes,no,16,16,1,51,95,both,yes
588,16,3,0,1,0,25,1,yes,public,no,no,9,yes,no,12,12,3,29,117,both,yes
600,12,9,0,1,0,27,1,yes,public,no,no,10,yes,no,17,16,1,24,105,both,yes
500,16,8,0,1,0,30,1,yes,public,yes,yes,12,no,no,6,10.25,9,43,#N/A,other,no
440,12,15,1,1,0,33,1,yes,public,no,yes,12,yes,no,8,8,8,18,94,both,no
467,18,2,0,1,1,26,1,no,private,yes,no,11,yes,no,13,16,1,43,139,both,yes
929,17,6,0,1,0,29,1,no,private,no,yes,13,yes,no,14,12,2,41,91,both,yes
556,16,5,0,1,0,27,1,no,private,no,yes,12,yes,no,14,12,2,37,96,both,yes
438,13,5,0,1,0,24,1,no,private,no,no,9,yes,no,14,12,2,32,114,both,no
600,12,11,1,1,0,29,1,no,private,no,yes,12,yes,no,9,10,7,31,54,step,no
575,12,8,1,1,0,26,1,no,private,no,yes,11,yes,no,9,10,7,37,69,both,no
389,12,8,1,1,0,26,1,no,private,no,no,11,yes,no,9,10,7,17,67,both,no
795,12,16,0,0,0,34,1,no,private,no,yes,12,no,no,12,10.25,5,37,110,step,no
471,18,3,0,1,0,27,1,no,private,no,yes,12,yes,no,18,16,1,41,125,both,yes
202,17,3,0,1,0,26,1,no,private,yes,no,10,yes,no,18,16,1,38,124,both,yes
200,17,1,0,1,0,24,1,no,private,yes,no,8,yes,no,18,16,1,35,#N/A,both,yes
350,17,1,0,1,0,24,1,no,private,no,no,9,yes,no,15,17,1,35,113,step,yes
375,14,4,0,0,0,24,1,no,private,no,no,9,yes,no,10,12,6,40,100,both,yes
481,16,3,0,1,0,25,1,no,private,no,yes,10,yes,no,12,9,5,37,97,both,yes
962,18,7,0,1,0,31,1,no,private,no,no,15,yes,no,8,8,8,44,125,both,yes
423,15,6,0,1,0,27,1,no,private,no,no,12,yes,no,12,12,3,42,106,step,yes
500,15,6,0,1,0,27,1,no,private,no,no,11,yes,no,11,12,6,28,101,both,yes
450,9,15,0,1,0,30,1,no,private,no,yes,8,yes,no,9.93999958,11,9,37,#N/A,both,yes
476,8,14,0,1,0,28,1,no,private,no,yes,8,yes,no,8,9,8,27,#N/A,both,no
136,12,6,0,1,0,24,1,no,private,no,no,7,yes,no,8,9,8,21,#N/A,both,no
575,12,14,0,1,0,32,1,no,private,no,yes,12,no,no,10,9,7,39,91,both,yes
577,12,15,0,1,0,33,1,no,private,no,yes,11,no,no,10,8,8,28,86,other,yes
310,12,13,0,1,0,31,1,no,private,no,yes,12,yes,no,8,9,8,32,110,both,yes
700,9,15,0,1,0,30,1,no,private,no,yes,8,yes,no,12,12,3,38,#N/A,both,no
1322,14,12,0,1,0,32,1,no,private,no,yes,14,no,no,9.93999958,12,4,47,92,both,yes
551,10,18,0,1,0,34,1,no,private,no,yes,10,no,no,12,9,5,41,85,both,no
881,17,7,0,1,0,30,1,no,private,no,yes,14,yes,no,8,8,8,36,120,both,yes
760,12,7,0,1,0,25,1,no,private,no,yes,9,yes,no,7,12,6,27,#N/A,both,yes
708,12,14,0,1,0,32,1,no,private,no,yes,12,yes,no,8,11,8,52,#N/A,both,yes
425,12,8,0,1,0,26,1,no,private,no,yes,10,yes,no,8,8,8,24,#N/A,both,yes
427,12,8,0,1,0,26,1,no,private,no,no,11,yes,no,9.93999958,9,9,35,107,singlemom,yes
576,16,2,0,1,0,24,1,no,private,no,no,9,yes,no,9.93999958,9,9,43,116,singlemom,yes
400,9,17,0,1,0,32,1,no,private,no,no,9,yes,no,9.93999958,4,9,34,#N/A,both,yes
500,12,13,0,0,0,31,1,no,private,no,yes,8,yes,no,8,5,8,30,#N/A,both,no
531,12,10,0,0,0,28,1,no,private,no,yes,8,yes,no,8,5,8,29,#N/A,both,no
673,16,6,0,1,0,28,1,no,private,yes,yes,13,no,no,12,12,3,43,121,both,yes
577,16,5,0,1,1,27,1,no,private,no,no,12,no,no,12,12,3,41,112,both,yes
325,16,2,0,1,0,24,1,no,private,no,no,8,yes,no,16,12,2,39,#N/A,both,yes
500,11,12,0,0,0,29,1,no,private,no,yes,11,no,no,7,11,8,40,#N/A,both,yes
770,12,7,0,0,0,25,1,no,private,no,yes,8,no,no,7,11,8,43,100,both,yes
500,12,8,0,1,0,26,1,no,private,no,yes,10,no,no,7,12,6,37,112,both,no
391,16,6,0,1,0,28,1,no,private,no,yes,12,yes,no,14,12,2,41,108,both,yes
810,12,16,0,1,0,34,1,no,private,no,yes,12,yes,no,12,10,5,42,90,both,yes
543,9,19,1,0,0,34,1,yes,public,no,yes,9,no,no,12,10.25,5,39,86,both,yes
593,9,19,1,0,0,34,1,yes,public,no,no,8,no,no,12,12,3,37,#N/A,both,yes
864,17,2,0,1,0,25,1,yes,public,no,no,10,no,no,12,12,3,40,127,both,yes
700,10,12,1,0,0,28,1,yes,public,no,yes,10,no,no,9.93999958,8,9,32,86,both,yes
510,12,7,0,0,0,25,1,yes,public,no,yes,10,no,no,12,12,3,27,113,both,yes
615,13,15,0,1,0,34,1,yes,public,no,no,12,yes,no,9,12,6,51,111,both,yes
