CO.GT, NO.GT, T, RH, AH
8.1,478,14.8,54.3,0.9076
5.8,394,17.4,45.6,0.8993
4.2,319,19.8,38.5,0.8801
3.1,201,22,34.1,0.8904
2.9,171,23.3,32.2,0.9096
2.9,159,23.9,30,0.8757
2.5,153,24.4,28.9,0.8736
2.3,143,24.4,29.4,0.8848
2.8,156,23.8,31.3,0.9137
6.1,314,22.5,35.4,0.9547
8,404,20.4,42.5,1.0086
6.5,320,18.3,52.6,1.0945
4.2,256,16.7,57.4,1.0786
3.2,193,15.7,60.2,1.0654
1.4,89,15.3,61.4,1.058
2.1,127,14.1,65.7,1.0494
1.2,79,14.8,60.6,1.0148
0.8,43,14.8,59.2,0.9879
0.7,0,13.6,62.1,0.9636
0,59,12.3,66.2,0.945
0.6,38,12.8,63.2,0.9283
0.9,82,11.2,68.5,0.9081
1.3,99,11,66.5,0.8705
3.4,263,11.7,63.7,0.8719
3.7,229,13.6,56.3,0.8743
5.3,396,17.8,42.9,0.8672
4.1,314,21.4,33.3,0.8417
3.3,217,24.4,27.4,0.8231
4,252,25.3,26.1,0.8264
3.8,263,25.8,23.2,0.7589
2.8,180,27,20.2,0.7094
2.9,184,28.2,18.6,0.7014
2.9,190,28,19.1,0.7098
3.4,184,23.9,25.7,0.7519
3.9,181,21.3,34.8,0.873
3.2,166,20.4,36.7,0.8704
5.1,317,19,41.3,0.9007
2.6,184,17.9,45.9,0.9342
1.7,130,16.7,48.9,0.9226
1.7,132,15.5,52.9,0.9271
1.2,95,15.5,51.9,0.9059
0.9,70,14.1,55.6,0.891
0.7,0,13.1,57.9,0.8666
0,54,12.7,57.9,0.8447
0.5,28,11.8,58,0.8026
0.5,46,11.9,57.4,0.7978
1.6,160,9.9,65.2,0.7956
4.1,320,11.1,60.2,0.7958
6.6,377,14.1,50,0.802
4.3,280,17.7,40.1,0.8048
2.9,221,21.1,33.4,0.8265
2.5,210,24.3,28.3,0.8471
2.8,204,25.6,25.6,0.8254
2.6,161,25.9,25.9,0.8503
2,135,26.8,18.7,0.65
2.9,186,29.3,15.8,0.6309
2.5,147,28.5,14.9,0.5708
5,299,25.9,16,0.5237
7.6,411,23.1,26.5,0.7403
6.7,347,20.5,38.2,0.9133
5.7,336,19.1,42.6,0.9294
2.8,202,17.2,44.1,0.8558
2.6,178,16,50.9,0.9206
2.3,154,14.8,53.9,0.9024
1.4,92,14.3,55.4,0.8975
1,61,14.8,52.1,0.8686
0.7,0,13.9,53.9,0.8501
0,60,11.6,61.9,0.8442
0.6,37,12,58.9,0.8233
0.7,68,10.9,62.1,0.8113
1.5,139,10.6,63.3,0.8067
4.7,339,11.5,60,0.8117
6.6,421,14.3,50.6,0.8186
4.5,349,17.8,40.5,0.821
2.8,224,20.8,34.4,0.8365
2.2,171,23.8,28.2,0.8219
2.2,149,24.2,28.7,0.8515
2.3,137,25.2,24.9,0.7829
2.2,149,27,17.8,0.6275
2.8,172,27.1,23.1,0.818
2.7,166,25.8,23.9,0.7832
3.7,214,23,26.8,0.7446
5.1,280,20.7,31.1,0.7523
5.1,276,18.6,36.2,0.7676
3.2,178,16,48.4,0.8768
2.1,129,14.5,57.8,0.9456
1.7,95,13.1,64.2,0.9606
2,126,12,69.7,0.9735
1.6,103,11.9,71.1,0.9915
0.9,48,12.5,69.3,1.0029
0.7,0,12.5,67.5,0.9768
0,20,12.3,67.7,0.9665
0.5,18,12.5,66.8,0.962
0.7,56,12.3,66.3,0.9487
1.5,115,12.4,64.9,0.9332
4.8,320,13,61.6,0.9209
6.2,357,13.6,58.8,0.912
4,253,13.9,57.1,0.9032
3.3,218,14.5,54.4,0.8917
2.8,192,15.5,50.1,0.8744
3,176,16.1,47.6,0.8655
3.3,198,16.3,47.1,0.864
3.5,212,16.4,47.5,0.8791
4,249,16.1,50.2,0.9094
4.6,270,16,50.7,0.9142
4.1,231,15.8,50.3,0.8989
4.5,251,15.5,50.6,0.884
3.9,210,15.4,51.4,0.8956
4,249,15.2,53.1,0.9117
2.2,143,14.7,57.6,0.9573
2.1,127,14.2,58.3,0.938
1.7,104,13.8,57.9,0.9085
1.6,86,13.9,55.9,0.8842
1.3,74,13.9,55.6,0.8765
1.3,0,13.8,55.1,0.8666
0,44,13.8,54.6,0.8574
0.8,42,13.6,55.1,0.856
0.8,63,13.6,59,0.9129
1.1,115,13.5,58.4,0.896
2.1,170,13.8,58,0.9083
2.4,147,14.6,53.1,0.8765
2.6,166,15,52.3,0.8881
2.8,195,15.4,52.1,0.9046
2.6,182,16.3,50,0.9158
2.6,168,17.1,47.9,0.9281
2.1,125,19,42.9,0.937
1.7,95,19.5,42.3,0.9476
1.6,79,19.5,42.3,0.9493
2.1,119,19.1,43.8,0.9556
2.3,142,18.5,46.3,0.9744
3.5,215,17.4,51.6,1.0159
3.9,229,17.1,51.3,0.9914
3.3,206,16.4,53.8,0.9964
2.3,147,16.2,55.4,1.0132
2.1,122,15.9,57.7,1.0356
2.8,175,15.7,58.6,1.0396
2.1,133,15.1,60.9,1.0398
1.6,89,15.6,56.6,0.9951
1.6,0,15.2,57.9,0.9941
0,85,15.4,57.8,1.0021
1.1,55,14.9,60.6,1.0196
0.7,24,14.5,63,1.0316
0.8,72,14.2,66.2,1.063
1.2,122,14.5,65.3,1.0704
1.4,111,15.3,62.1,1.073
1.7,123,16.3,59,1.0868
1.8,106,18.9,49.6,1.07
1.8,103,19.4,46.1,1.0249
1.9,102,20.8,41.6,1.0091
1.3,48,21.4,40.3,1.0126
1.6,63,21.2,39.3,0.9791
1.9,98,20.3,38,0.8942
2.3,132,19.4,41.3,0.9206
3.8,173,18.5,43.8,0.9252
3.5,185,17.8,48.1,0.9689
4.3,266,17.9,46.9,0.952
2.8,188,17.4,49.1,0.9688
1.9,122,17,51.7,0.9914
1.9,112,16.4,55.1,1.0198
1.7,93,16.1,60,1.0919
1.5,74,15.8,60.5,1.0805
0.6,23,16.3,57,1.0491
0.4,0,16.9,53.9,1.0309
0,17,16.1,55.9,1.0153
0.3,15,16.5,53.9,1.0049
0.6,41,16.4,54,0.9979
1.2,86,15.7,57.6,1.0195
3.6,226,15.8,53.7,0.9571
3.7,214,17.4,42.1,0.8281
1.8,115,17.9,38.4,0.7793
1.6,124,18.5,36.7,0.7764
1.9,122,21,29.6,0.7263
2,107,21.3,28.1,0.7067
2.2,133,21.3,26.1,0.6539
2.1,130,21.3,26.8,0.6681
2.3,150,21.3,24.2,0.606
2.6,138,20.2,28.5,0.6682
3.8,213,17,43.1,0.8264
4.4,232,15.6,47.4,0.8347
4.5,238,15.3,47.4,0.8178
3.3,180,14.5,49.7,0.8177
2,128,13.9,52,0.8231
1.1,65,14.5,49.4,0.8106
0.9,53,13.8,51.4,0.8071
0.8,47,14,51.3,0.8163
0.7,51,13,56.8,0.8444
0.5,0,11,70,0.9215
0,20,10.1,76.8,0.9483
0.3,13,8.8,80.5,0.9147
0.5,33,9.6,75.4,0.9004
1.1,103,9.8,75,0.9093
3,224,10,74.2,0.9117
3.8,244,11.2,69.7,0.9232
3.4,237,12,62.9,0.8803
3,220,12.8,55.8,0.821
2.7,207,13.1,54.8,0.8234
3.5,208,13.8,53.4,0.8351
2.8,160,16,42.4,0.7674
1.9,131,14.1,49.8,0.7971
2,128,12,61.1,0.8537
3,176,13.6,54.6,0.8465
1.9,107,13.7,49.5,0.7695
2.7,131,11.7,57.1,0.7822
3.3,166,11.5,58.2,0.7867
1.7,89,12.6,54.2,0.7881
1.3,81,12,54.9,0.7664
1.3,78,11,61.4,0.8057
1.2,70,11.1,62.2,0.8199
1.1,76,10.8,62.5,0.8082
0.9,43,11.3,60,0.8025
0.6,0,10.6,61.6,0.7856
0,44,10.2,62.7,0.7813
0.6,34,10.9,58.6,0.7628
0.8,43,10.8,57.2,0.7382
1.2,79,10.4,59.2,0.7455
3.1,174,11,57.3,0.7501
4.4,235,11.2,56.9,0.7565
3.4,218,12.1,54.9,0.7734
1.7,136,15.1,44.3,0.7535
1.5,117,15.6,40.6,0.7146
1.7,119,16.9,34.6,0.6597
2.2,126,16.6,35.6,0.6697
0,100,11.3,63.9,0.8554
2.7,197,9.6,81.1,0.972
2.8,195,11.7,69.1,0.9497
2.7,156,10.7,68.5,0.8794
4.5,247,10.7,67.3,0.8643
3.5,190,10.8,65.7,0.8486
2.6,169,10.3,66.3,0.8336
1.7,118,10.1,66.9,0.8248
1.3,81,10.4,61.1,0.7717
1.3,80,10.3,59.9,0.7516
1,42,11,58.4,0.7686
0.7,38,9.1,68.1,0.789
0.7,0,9.5,68.2,0.8091
0.5,18,9.3,72.3,0.8496
0.5,12,9.9,66.8,0.8152
0.6,43,7.6,83.2,0.8695
1.1,84,8.1,79,0.8544
2.7,184,8.7,74.6,0.8429
3.5,202,8.6,75.1,0.8415
2.3,133,9.7,69.7,0.8389
1.6,130,11,64.4,0.8447
1.3,106,13.6,53,0.8209
2,132,14.2,48.4,0.778
1.9,106,14.2,46.3,0.7438
1.9,125,16,41.3,0.7462
2.2,138,17.7,35.4,0.7094
2,120,17.1,37.4,0.7225
2.9,158,14.9,40.5,0.6835
5.2,253,13.4,47.8,0.7293
4.6,231,12.6,52.5,0.7642
2.5,150,12.2,53.2,0.7555
1.5,99,10.6,56.1,0.714
1.2,75,9.9,59.5,0.7276
1.7,93,9.6,61.1,0.7323
1.4,79,9.7,61.6,0.7425
1.2,67,9.4,62.6,0.7398
0.6,0,8.2,68.5,0.7455
0.7,45,8,69.4,0.7459
0.8,72,7.7,72.4,0.7655
0.9,103,8,71.8,0.7711
1.6,132,8.5,66.3,0.7375
3.4,239,9.8,59.6,0.7214
3.8,275,11.2,57,0.7544
3.1,232,14.8,44.1,0.7407
2.7,180,16.8,35.3,0.6729
2,112,19.2,27.1,0.5976
2.3,116,19.1,26.2,0.5741
1.9,103,16.3,30.8,0.5683
1.3,89,14.2,36.8,0.5922
1.9,112,13.4,41,0.6292
2.3,127,14.2,43.3,0.6982
2.4,125,12.1,45.6,0.6403
2.7,120,10.4,48,0.6046
2.6,120,10,51.1,0.628
1.5,99,9.8,50.8,0.6172
1.2,79,9.7,50.4,0.6063
1.1,66,9.9,50.2,0.6103
1.5,94,9.4,53.4,0.63
1,70,8.6,57.8,0.6488
1.2,75,8.1,62.1,0.6746
1.1,0,7.9,63.5,0.6777
0,57,7.4,64.8,0.6683
0.8,32,8.2,58.9,0.6444
0.9,54,6.3,66.6,0.641
1.1,68,7.2,62.9,0.6396
1.5,98,7.2,63.9,0.65
1.8,128,11.1,50.5,0.6654
2.1,129,15.5,36.1,0.6313
2.1,130,17.8,29.2,0.592
1.9,111,17.6,30.1,0.6013
2.1,106,19.1,26.8,0.5861
2.5,137,17.7,28.6,0.5735
1.9,113,17.8,28.4,0.5737
2.2,122,18.7,26,0.5555
2.3,137,17.1,31.3,0.6038
2.7,165,15.8,36.1,0.644
3,196,14.7,40.1,0.6657
2.8,174,13.6,44.9,0.6991
2.2,140,12.5,48.1,0.6946
1.6,102,11.8,50.8,0.7042
2.1,130,10.9,56.1,0.7326
2.3,121,10.9,55.9,0.7277
2.3,111,10.3,58.1,0.7278
1.7,87,9.3,62.2,0.7294
2.2,0,8.2,66.7,0.7276
1.3,77,8.3,64.9,0.7124
0.8,39,9.6,58.5,0.7
1.1,77,7.7,66.4,0.699
1.4,91,7.4,68,0.7043
1.3,105,9.7,58.6,0.7035
1.9,133,12.5,50.1,0.7242
2.3,128,16.8,36.9,0.7018
2.3,126,19.2,31.3,0.6887
1.8,92,21.3,26.4,0.6607
1.4,66,21.2,23.1,0.5768
1,50,18.6,25,0.5319
1.4,70,18,27.3,0.5594
1.3,73,18.2,28.3,0.5848
1.3,77,17,31.4,0.6048
1.4,86,15.6,35,0.617
1.9,93,14.1,40.2,0.6438
1.8,105,13.4,43.2,0.6623
1.1,67,12.3,46.8,0.6686
1.1,63,11.9,46.5,0.6449
1.1,63,11.5,46.6,0.6319
0.9,46,10.6,48,0.6135
0.6,21,10.7,45.8,0.5895
0.5,22,10.4,46.6,0.5901
0.7,0,10.1,47.8,0.5913
0.6,39,11.3,46.9,0.628
0.7,55,10.1,51.2,0.6341
0.9,76,9.9,50.7,0.6167
2.9,181,8.1,56.8,0.615
4.1,259,10.9,44.1,0.5748
1.5,118,11.8,37.6,0.5184
1.5,119,13.9,33.2,0.5222
1.5,123,15.6,30.1,0.5285
1.4,92,16.5,29,0.5406
1.6,91,17.5,27.9,0.5517
1.5,103,17.9,26.8,0.5446
1.4,102,18.2,26.1,0.5387
1.5,94,18,27.1,0.5522
1.9,98,17,28.9,0.5558
2.5,126,16.1,31.3,0.568
2.1,108,14.5,35.4,0.5839
1.6,95,13.2,37.9,0.5733
1.2,78,13.1,34.4,0.517
1.1,61,13.5,28.5,0.4405
1,55,12.4,31.9,0.4583
1,57,13.1,26.8,0.4023
0.7,41,11.6,33.6,0.4595
0.7,46,10.5,42.9,0.5442
0.8,0,11.7,38.7,0.5298
0,41,12.2,37.2,0.5277
0.7,52,12.9,33.9,0.5037
1.1,111,11.3,40.3,0.5376
2.6,191,11.9,38.4,0.5341
4,244,13.3,35.6,0.5416
4.2,283,16.3,28.8,0.5305
4.7,320,17.9,28.2,0.5741
3.9,249,18.3,26.6,0.5529
3.7,219,20.8,22.5,0.5463
3.4,200,22.4,20,0.5352
2.2,138,20.9,21.7,0.5295
1.9,118,19.1,26.5,0.579
1.6,99,18.1,30.6,0.6295
2.1,112,17.3,34.7,0.6788
2.2,117,15.8,40.4,0.7228
2.7,129,15.9,42,0.7541
2.4,132,15.9,43.5,0.779
1.3,73,15,46.1,0.7833
1.2,68,15.1,44.6,0.7574
1.5,80,14.9,43.5,0.7302
1.3,68,14.8,41,0.685
1,44,14.8,40.8,0.6814
0.9,47,14.8,40.8,0.6834
0.5,0,14.2,36.1,0.5823
0.5,15,14.5,36.1,0.5928
0.6,44,14.6,36,0.5947
1,85,14.4,38.5,0.6291
3.1,207,13.8,58.2,0.9129
4.1,230,13.2,61.1,0.9256
2.2,181,10.4,74.4,0.9384
1.7,144,11.5,71,0.9582
1.9,140,12.2,70,0.9924
2.9,204,12.3,73.3,1.0442
2.2,149,11.3,78.1,1.0411
2.6,171,13.6,69.2,1.0746
3.1,195,14.9,59.3,0.9974
2.3,152,15.7,50.9,0.8997
2.4,128,15.2,52.9,0.9087
2.8,121,15.5,50.8,0.8881
2.7,142,14.3,52.9,0.8581
2.3,131,13.2,56,0.8446
1.5,81,12.6,57,0.8315
1.4,60,12.3,57.8,0.8224
1.2,57,12,58.4,0.8164
1.6,96,12,61.6,0.8593
1.2,85,11.5,63.9,0.8652
1.1,50,10.7,67.2,0.863
0.9,0,9,73.1,0.8394
0.7,57,10.2,66.6,0.8299
0.9,64,11,63.7,0.8325
1.7,153,9.6,68.8,0.8243
4.2,342,9.5,69.6,0.8273
6.2,378,11.9,60.9,0.8455
4.6,304,16.2,48.6,0.8892
2.8,192,19.2,39.6,0.8693
1.6,130,19.7,38.4,0.8743
1.7,106,20.6,36.7,0.8797
1.7,102,21.8,33.9,0.8771
1.7,99,-200,-200,-200
1.9,108,-200,-200,-200
2.3,131,-200,-200,-200
3.3,163,23.6,27.5,0.7913
4.2,211,22.8,32.1,0.8814
5.5,267,20.8,36.7,0.8878
4.9,269,18.3,40.9,0.8493
2.5,154,16.8,44,0.8341
2,127,15.8,48,0.8569
2,122,14.9,52,0.8757
2,126,14.1,54.4,0.8701
1.3,84,13.3,58.8,0.8922
1,58,13.3,60.9,0.9229
0.9,0,11.8,64.3,0.8869
0,37,11.2,65.9,0.8775
0.7,56,11.3,72.9,0.9738
1.1,91,11.4,71.8,0.9671
2.6,159,11.9,73.7,1.0254
3.9,190,12.6,70.2,1.0221
5,249,13.6,65.3,1.0136
3.3,196,16.9,52.3,1.0013
2.9,180,19.4,44.1,0.9855
3.1,167,22.9,33.8,0.9322
3,159,23.6,31.3,0.9001
2.7,152,24.7,30.5,0.9371
2.7,149,26.1,27.3,0.9101
2.6,143,27.6,22.8,0.8288
3.7,185,26.9,22.3,0.7792
4.5,223,24.3,30.1,0.9012
4.7,215,21.2,40.1,0.9978
5.5,271,19.4,42.5,0.9483
3,180,18.5,43,0.9074
1.9,115,17.8,47,0.9467
2.3,149,16.8,53.2,1.01
1.6,98,17.1,51.8,0.999
1.3,73,16.2,54.2,0.9933
1.2,69,15.1,58.2,0.9886
0.9,0,15.1,57.6,0.9796
0.8,60,14.5,58,0.9488
0.8,56,13.7,61.6,0.9631
0.9,73,13.9,59.6,0.9408
2,159,13.3,61.7,0.9399
3,203,15.1,55.8,0.9486
3.1,211,17,50.5,0.9684
0,0,19.7,43.3,0.9837
0,0,20.7,41.7,1.0092
0,0,23.3,35.8,1.0098
0,0,23.8,30.5,0.8897
0,0,24.8,27,0.8325
0,0,25,27.5,0.8575
0,0,25.8,26.5,0.8675
0,0,25.1,27.1,0.8496
0,0,23.7,28.6,0.8273
0,0,22.1,36.8,0.9681
0,0,19.9,47.5,1.0912
0,0,18.7,50.4,1.0772
0,0,18.1,51.3,1.0587
0,0,17.5,53.8,1.0648
0,0,16.7,56.5,1.0634
0,0,15.9,59.2,1.0635
0,0,15.2,62.4,1.0726
0,0,14.7,65,1.0766
0,0,14.3,65.3,1.0594
0,0,13.7,66.5,1.0393
0,0,12.9,69.1,1.0264
0,0,13.7,64.8,1.0135
0,0,15.3,59,1.0181
0,0,18.1,49.8,1.0272
0,0,21.5,40.7,1.0301
0,0,23.3,37.1,1.0457
0,0,25.1,33.8,1.0594
0,0,25.6,32.1,1.0393
0,0,25.8,31.1,1.0143
0,0,26.1,30.8,1.0253
0,0,24.4,36,1.085
0,0,23,36.2,1.0053
0,0,22.1,39.3,1.0336
0,0,19.8,44.6,1.0208
0,0,18.5,48.9,1.0323
0,0,16.6,56.1,1.0481
0,0,15.8,58.8,1.0464
0,0,15.3,60.8,1.0501
0,0,14.7,64.4,1.0717
0,0,14.8,63.3,1.0584
0,0,15,61.5,1.0418
0,0,15.5,56.9,0.9961
0,0,16,54,0.9742
0,0,13.5,63.9,0.9809
0,0,12.9,65.3,0.9688
0,0,13.4,62.5,0.9582
0,0,14.5,58.8,0.963
0,0,15.3,56.7,0.9773
3.1,236,15.6,57.4,1.0075
3,228,16.6,55.2,1.0382
3.2,206,17,54.3,1.0434
3.1,188,18,51.5,1.0552
2.5,158,19.5,47.5,1.0653
2.1,124,21.6,41.7,1.0606
2,98,22.2,38.3,1.0106
3.2,160,20.3,42.8,1.0053
4.1,194,19.7,45.4,1.0312
3.9,174,18.8,47.5,1.0199
3.1,157,17.9,49.4,1.0064
2,109,17.5,50.9,1.009
1.7,85,17.4,51.8,1.023
1.6,90,17,53.9,1.0363
1,61,16.6,55.4,1.0408
0.8,36,15.9,57,1.0224
0.5,25,15,59.2,1.0059
0.5,0,14.5,61.4,1.0041
0.5,24,14.1,61.6,0.9883
0.8,73,14.6,58.8,0.9711
1.7,164,14.4,58.9,0.9594
4.5,329,15.3,55.2,0.9538
6.2,302,16.2,52.5,0.9576
4.4,256,18.4,46.3,0.9734
2.9,182,19.6,41.8,0.9407
1.6,105,20.2,40.1,0.937
2.6,136,20.9,36.6,0.8939
2.9,167,20.4,34.7,0.8229
2.5,166,19.3,35.4,0.7813
1.9,115,18.6,36.9,0.7829
1.9,109,18.8,36.8,0.7883
2.7,143,17.5,40.6,0.8068
3,159,16.8,44.3,0.8428
3.3,181,16.3,47.7,0.8746
3.2,178,15.6,50.7,0.8947
1.8,91,15.7,49.4,0.8768
1.3,76,15.8,48.6,0.8653
1.1,66,15.7,47,0.8325
0.9,56,15.7,45.9,0.8121
0.7,35,15.6,44.9,0.792
0.4,21,15.6,44.4,0.7827
0.3,0,16.1,42.4,0.7718
0.3,12,15.7,45.4,0.8063
0.3,22,15.3,50.1,0.8617
0.8,55,14.2,58.6,0.9443
2.8,152,14.3,58.2,0.9431
3.1,153,15,52,0.8817
2.3,152,13.6,61.4,0.9519
1.6,112,16.1,53.1,0.9675
1.5,119,16.6,44.3,0.8294
1.6,122,17.4,40.3,0.7922
1.8,115,18.1,42.2,0.8679
1.4,84,14.4,51.8,0.8433
1.9,146,10.9,76.4,0.9953
1.2,65,16.4,47.7,0.8819
2.3,120,18,37.1,0.7598
3.3,185,14.7,48.7,0.8089
3.1,157,11.3,71.3,0.9514
3.3,174,10,74,0.9087
1.2,62,9.8,71.8,0.8702
1.3,81,9.3,75.2,0.8796
1.9,118,9.6,76,0.9088
1.4,95,9.3,75,0.8799
1.5,84,9,76.7,0.8825
1.1,56,8.2,79.6,0.8672
0.8,0,7.6,80.6,0.8437
0,43,8.3,75.6,0.8302
0.8,69,8.1,72.1,0.7798
1.1,74,8.1,70.4,0.7609
2.6,161,8.1,70.5,0.7627
5.1,308,9.9,64.3,0.7859
4.2,300,13,54.2,0.809
2.6,189,16.5,42.6,0.7912
2.4,164,19.3,34.2,0.7566
2.1,122,21.5,27.4,0.6941
2.6,166,20.4,26.7,0.6323
2.8,181,20.6,22.6,0.5432
2.5,127,20.6,24.8,0.5931
1.9,106,21,25.4,0.6264
3.6,192,21.5,24.5,0.6203
4.6,241,19.3,28.6,0.6357
6.3,326,18,32.9,0.6737
4.3,232,15.8,39.8,0.7096
1.6,92,15.3,41.5,0.7194
1.4,95,14.1,46,0.7363
2,129,-200,-200,-200
2.4,154,-200,-200,-200
1.8,118,-200,-200,-200
1,69,-200,-200,-200
1,0,-200,-200,-200
1,97,-200,-200,-200
0.9,145,-200,-200,-200
1.5,169,-200,-200,-200
2.6,250,-200,-200,-200
2.9,215,-200,-200,-200
2.7,237,-200,-200,-200
2.4,190,-200,-200,-200
2.6,219,-200,-200,-200
4.1,294,-200,-200,-200
4.3,253,-200,-200,-200
2.2,176,-200,-200,-200
3.4,243,-200,-200,-200
3.6,214,-200,-200,-200
2.5,141,-200,-200,-200
2.8,166,-200,-200,-200
3.4,197,-200,-200,-200
3,191,-200,-200,-200
2.1,159,-200,-200,-200
2.4,175,-200,-200,-200
2.3,157,12,67.9,0.9523
1.3,83,12,66.9,0.9336
1.7,118,11.5,70.1,0.9503
1.7,101,11.4,69.8,0.939
1,0,11.1,69.3,0.9128
0.8,46,10.8,70.3,0.9092
1,81,10.2,73.4,0.9129
1.4,112,10.8,70.5,0.9142
1.7,150,11,71,0.9279
2,138,12.4,64,0.9206
2,124,15,53.1,0.8993
1.9,124,16.6,44.4,0.8313
2.1,115,18,38.4,0.7862
1.8,101,20.6,30,0.7213
1.5,90,19.9,26.7,0.6137
1.3,90,19.8,23.1,0.5283
1.4,89,21.4,22.7,0.5722
1.5,92,22.1,21.3,0.5605
1.7,103,21.1,24.5,0.604
2,122,18.3,31.6,0.6562
2.5,159,16.1,35,0.6372
2.4,172,14.8,41.5,0.6929
2,125,13.2,50.3,0.7577
2.9,187,12.3,55.5,0.7916
2.5,174,11.8,56.6,0.7833
1.4,75,11.2,56.2,0.7469
1.2,48,11,56.6,0.7418
1,61,9.3,64.3,0.7531
1,0,8.8,66,0.7501
0,38,7.8,70.4,0.7463
0.7,38,7.7,70.7,0.7463
0.8,41,7.4,71,0.7346
0.9,51,8.2,66.6,0.7283
1.1,61,8.7,64.3,0.7267
1,47,13,47.9,0.7116
1.6,87,17.4,35.4,0.699
1.8,107,20.2,29.2,0.683
2.6,161,22.7,22.9,0.6224
1.1,61,22.3,22.4,0.5955
0.6,26,22.2,18.9,0.4993
0.9,42,22,19,0.4969
1,55,21,23.6,0.5788
1.2,65,19.6,27.4,0.6162
1.4,75,17.9,30.8,0.6258
2,93,16.4,35.3,0.6532
1.1,63,15.6,37.5,0.6575
1.1,60,15.5,36.7,0.6438
1.1,63,14.5,39,0.6428
1.1,66,14.2,38.2,0.6163
0.7,41,13.7,38.3,0.5957
0.6,42,14.1,34,0.5442
0.7,36,14.6,34,0.5605
0.6,0,14.4,32.8,0.5364
0.3,16,13.9,30.9,0.4868
0.3,16,13.5,37.9,0.5852
